GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0500000US36055,36055,"Monroe County, New York",300289,1433,181392,1729,126817,1785,118897,1510,7.7,0.3,5.1,0.4,1.4,0.2,12.5,0.6,5.2,0.2,3.1,0.3,0.9,0.2,8.9,0.5,10.3,0.3,6.5,0.3,3.1,0.3,16.4,0.7,10.0,0.4,7.4,0.4,4.9,0.4,14.3,0.7,13.6,0.4,12.0,0.4,10.1,0.5,16.2,0.8,17.8,0.5,18.8,0.6,19.4,0.7,16.4,0.8,12.5,0.3,15.5,0.5,18.5,0.6,7.3,0.4,13.6,0.4,18.4,0.6,23.6,0.7,5.5,0.4,5.1,0.2,7.3,0.3,9.8,0.4,1.5,0.2,4.1,0.2,6.0,0.3,8.3,0.5,1.1,0.2,53568,591,70387,1194,88130,1570,33249,822,72464,784,88977,1182,107509,1604,44998,794,29.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.6,(X)
0500000US36057,36057,"Montgomery County, New York",19540,286,12445,360,8369,317,7095,364,8.1,1.0,6.2,1.2,2.8,0.9,13.7,2.0,6.9,1.0,4.9,1.1,1.8,0.7,11.8,2.0,15.0,1.3,10.0,1.4,7.6,1.6,22.9,2.3,10.7,1.2,10.9,1.5,8.8,1.6,12.2,2.0,14.3,1.3,13.6,1.5,12.0,1.7,14.4,2.1,18.2,1.5,20.5,2.0,23.2,2.5,13.2,1.9,12.1,1.2,14.5,1.6,18.1,2.0,6.1,1.8,10.4,1.3,14.3,1.8,18.4,2.2,3.6,1.3,2.7,0.6,3.1,0.8,4.3,1.3,1.2,0.8,1.6,0.5,2.0,0.7,2.9,1.0,0.8,0.4,44455,2039,55051,2663,67774,2946,26041,1798,58346,2298,66524,2952,79342,4056,40358,3115,32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X)
0500000US36059,36059,"Nassau County, New York",440230,1334,337726,1773,267592,2382,102504,1555,3.0,0.2,1.7,0.1,0.7,0.1,8.2,0.6,2.2,0.1,1.0,0.1,0.6,0.1,6.7,0.5,5.5,0.2,3.1,0.2,1.8,0.2,14.3,0.7,5.5,0.2,4.0,0.2,3.0,0.2,10.7,0.6,8.0,0.3,6.7,0.3,5.6,0.3,12.5,0.7,12.6,0.3,11.6,0.3,10.2,0.4,16.5,0.8,12.1,0.4,12.6,0.4,11.7,0.5,11.0,0.7,20.4,0.4,22.7,0.5,23.7,0.5,11.6,0.7,13.1,0.3,15.4,0.4,17.6,0.5,4.1,0.4,17.7,0.3,21.2,0.4,25.1,0.4,4.4,0.4,102044,830,118959,1376,133270,1376,46686,1284,133541,1190,150872,1407,167286,1691,69052,1645,42.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.4,(X)
0500000US36061,36061,"New York County, New York",753385,3789,311464,4216,204306,3834,441921,4118,9.4,0.3,6.2,0.3,2.2,0.3,11.9,0.4,5.2,0.2,4.0,0.3,2.2,0.3,6.2,0.3,8.0,0.3,8.0,0.4,4.4,0.3,8.2,0.4,6.5,0.2,6.8,0.4,4.5,0.4,6.4,0.3,8.1,0.3,8.3,0.5,5.7,0.4,8.0,0.4,12.6,0.3,10.4,0.5,8.4,0.5,14.0,0.5,9.7,0.3,8.0,0.4,7.7,0.5,10.8,0.4,13.7,0.4,12.6,0.5,14.7,0.6,14.3,0.5,8.0,0.3,8.3,0.4,11.0,0.6,7.6,0.4,18.9,0.4,27.4,0.6,39.3,0.8,12.7,0.5,75513,1030,94057,2717,150852,3562,65738,1425,138748,1787,186526,3371,249450,4957,103662,2022,29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.4,(X)
0500000US36063,36063,"Niagara County, New York",87638,864,54676,857,39731,865,32962,1093,7.1,0.6,3.9,0.6,1.0,0.3,13.2,1.3,5.7,0.5,2.9,0.4,1.0,0.3,11.0,1.2,11.3,0.7,6.8,0.7,3.7,0.6,19.8,1.4,11.8,0.7,9.2,0.8,7.0,0.7,16.5,1.3,14.0,0.7,13.4,0.9,12.4,1.1,14.8,1.2,18.1,0.8,20.7,1.0,22.0,1.2,13.3,1.2,12.8,0.7,16.1,1.0,18.6,1.3,6.3,0.9,13.1,0.7,18.3,1.0,22.9,1.3,3.8,0.6,3.9,0.5,5.5,0.7,7.3,0.9,0.7,0.3,2.2,0.3,3.1,0.5,4.1,0.6,0.6,0.2,50094,1411,66617,1580,78107,1984,28266,1346,64691,1392,79104,1978,91916,2348,37999,1160,30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X)
0500000US36065,36065,"Oneida County, New York",90260,800,55982,823,39611,752,34278,937,7.2,0.5,4.9,0.5,1.7,0.4,12.4,1.2,6.3,0.5,3.8,0.5,2.0,0.4,11.0,1.0,11.9,0.6,8.1,0.7,4.7,0.6,18.8,1.1,11.3,0.6,8.4,0.8,6.2,0.8,16.2,1.1,13.5,0.7,12.7,0.9,11.4,0.9,15.2,1.1,19.6,0.9,22.1,1.1,23.4,1.5,14.8,1.3,12.2,0.7,15.6,0.8,18.7,1.1,5.8,0.8,11.7,0.6,15.5,0.8,19.7,1.1,3.9,0.6,3.6,0.3,5.1,0.5,7.0,0.6,1.0,0.4,2.8,0.3,3.8,0.4,5.2,0.6,1.0,0.4,49838,1220,63182,1203,75676,1774,29948,892,65444,1612,78059,1992,92648,2786,41735,2466,35.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X)
0500000US36067,36067,"Onondaga County, New York",184925,985,111967,1204,79805,1143,72958,1267,7.8,0.3,4.6,0.3,1.4,0.2,13.7,0.8,5.3,0.3,3.1,0.3,1.0,0.2,9.1,0.6,9.7,0.3,6.0,0.4,2.9,0.3,16.3,0.8,9.3,0.5,7.0,0.5,4.9,0.4,13.1,0.8,13.1,0.5,12.1,0.6,9.7,0.6,14.7,0.9,18.4,0.5,18.4,0.6,18.9,0.7,17.6,1.0,12.6,0.5,15.9,0.7,18.5,0.8,7.0,0.5,14.3,0.4,19.5,0.6,24.8,0.8,5.7,0.6,5.2,0.3,7.1,0.5,9.4,0.7,1.6,0.3,4.3,0.2,6.3,0.4,8.4,0.5,1.1,0.2,55717,757,73195,1250,89736,1276,32909,1037,73878,958,90573,1389,107994,1721,45163,1061,32.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X)
0500000US36069,36069,"Ontario County, New York",44180,430,28569,588,21757,621,15611,608,4.0,0.5,2.7,0.6,0.8,0.3,7.4,1.2,4.4,0.6,2.2,0.5,0.7,0.3,8.9,1.4,11.0,1.0,5.8,1.0,3.2,0.8,21.0,2.0,9.9,0.8,8.0,1.0,6.0,0.9,14.5,1.5,13.3,0.9,11.3,1.0,9.6,1.0,17.0,1.8,19.3,1.3,20.8,1.6,21.1,1.7,15.7,1.8,13.4,0.9,15.9,1.3,17.5,1.5,7.7,1.5,15.4,1.0,20.2,1.4,24.8,1.8,6.0,1.2,5.0,0.6,7.0,0.9,8.7,1.2,1.1,0.4,4.4,0.6,6.1,0.9,7.5,1.2,0.6,0.3,58070,1726,73899,1826,86678,3210,33438,1836,76648,2251,92536,3298,105488,4195,44170,1909,27.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.9,(X)
0500000US36071,36071,"Orange County, New York",125144,888,88380,1216,68157,1175,36764,1156,5.4,0.4,3.5,0.5,1.8,0.4,11.3,1.0,3.9,0.4,2.2,0.3,1.7,0.3,8.2,1.0,8.2,0.5,5.2,0.4,3.6,0.4,16.1,1.4,7.7,0.4,6.5,0.5,4.6,0.4,11.2,1.1,10.7,0.5,9.3,0.6,8.0,0.7,14.2,1.3,15.9,0.7,16.4,0.8,15.0,0.9,14.9,1.2,13.1,0.6,14.1,0.7,14.9,0.8,9.9,0.9,19.2,0.7,22.7,1.0,25.9,1.1,9.6,0.9,8.8,0.5,11.0,0.7,13.3,0.8,2.5,0.6,7.2,0.4,9.1,0.6,11.2,0.7,2.1,0.5,71910,1511,87032,1570,100598,1844,37386,1296,90449,1533,103438,2021,116266,2537,54081,2050,47.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),47.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),45.4,(X)
0500000US36073,36073,"Orleans County, New York",16132,641,10687,433,8002,393,5445,460,6.3,1.3,4.5,1.5,1.0,0.6,12.4,2.9,5.3,1.2,2.8,1.2,2.3,1.5,10.0,3.0,13.9,1.9,10.3,2.1,8.2,2.3,21.3,4.0,10.7,1.4,10.1,1.6,7.9,1.6,13.8,2.5,14.8,1.6,13.4,1.7,11.3,1.6,16.8,3.3,22.1,1.9,22.5,2.4,24.3,2.9,19.3,3.1,11.2,1.3,14.8,2.0,17.5,2.5,3.0,1.6,11.2,1.5,15.7,2.2,19.8,2.9,1.9,0.9,2.8,0.7,3.6,0.9,4.7,1.2,0.9,0.7,1.7,0.5,2.3,0.7,2.9,1.0,0.6,0.7,48731,2473,57697,2673,67927,3390,29036,4028,59724,2203,69897,3081,80113,3738,36817,2574,28.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.5,(X)
