screen_name,description,latest_followers_count,office,party,tweet_created_at,tweet_text,favorites_count,retweet_count
SpeakerRyan,"Office of the 54th Speaker of the House, Paul Ryan.",2005696,congressperson,republican,2017-01-20T18:09:09Z,The peaceful transition of power is complete. #inaugurationday https://t.co/UwmjaCF7u3,5216,1104
keithellison,"Member of Congress from Minnesota's Fifth District. Co-Chair, @USProgressives. Host of We The Podcast. Subscribe here: https://t.co/NSnxwreA3H",298704,congressperson,democrat,2017-01-20T04:01:07Z,"Liberals, progressive &amp; dems, please study Cambridge Analytica, words of Lee Atwater, Paul Weyrich, ALEC, Cointellpro, and J. Edgar Hoover.",998,372
SenGillibrand,"Theo and Henry's mom; U.S. Senator from New York; Author of NYT bestseller Off the Sidelines. Pitcher, but sometimes left fielder. Democrat.",358901,senator,democrat,2017-01-20T01:25:36Z,"RT @FLOTUS: Being your First Lady has been the honor of a lifetime. From the bottom of my heart, thank you. -mo https://t.co/pahEydkZ5Z",0,375868
RepHalRogers,Representing the people of Southern and Eastern Kentucky and serving as Chairman of the U.S. House Appropriations Committee @HouseAppropsGOP,9980,congressperson,republican,2017-01-20T20:10:41Z,I'm honored to have my wife Cynthia by my side for every historic event. See my #TrumpInaugural statement at... https://t.co/1tksy6oGki,9,4
SteveDaines,Serving the people of Montana in the U.S. Senate.,12816,senator,republican,2017-01-20T21:03:11Z,Ready to get to work to confirm President Trump's cabinet. https://t.co/2xK6VLNioB,9,4
KamalaHarris,"Senator for California. Former CA Attorney General. Dedicated to fighting for justice & giving voice to the voiceless. Wife, s-mom, sister, aunt. Aspiring chef.",358512,senator,democrat,2017-01-20T14:53:00Z,We must not despair. We must not be overwhelmed or throw up our hands. It is time to roll up our sleeves and fight for who we are.,5350,2377
RepRichHudson,Official Twitter account for Congressman Richard Hudson -- proudly representing the 8th Congressional District of North Carolina.,11141,congressperson,republican,2017-01-20T18:06:18Z,@realDonaldTrump drivers his #InagurationDay2017 speech #MAGA https://t.co/9denKyKYbR,5,2
RepGwenMoore,"Proudly representing Wisconsin’s 4th Congressional District; mother, grandmother; loves poetry, reading, knitting and crocheting.",20365,congressperson,democrat,2017-01-20T01:04:36Z,"Thank you for joining our fight to #SaveObamacare, @paulgeenen! Stay organized &amp; engaged. Our lives quite literally... https://t.co/HFGUd8MQmr",8,5
RepGosar,Rep. for Arizona's 4th Congressional District. Chairman of @westerncaucus & Subcommittee on Energy & Minerals @NatResources. Dentist impersonating a politician.,22902,congressperson,republican,2017-01-20T21:49:53Z,RT @BretBaier: 12 million Tweets have been sent so far today related to the #Inauguration. Those Tweets peaked at 58k Tweets sent per minut...,0,147
GovHerbert,Proudly serving as the 17th governor of the great state of Utah.  Facebook: https://t.co/2ErGDynzXW #utpol,23903,govenor,republican,2017-01-20T00:31:30Z,".@UTHighwayPatrol sent 40 troopers to Washington, D.C. to assist w/public safety at #Inauguration. I'm thankful for... https://t.co/xzMzgrOSJX",194,37
JohnKasich,"Husband, Dad and Governor of Ohio. Learn more about my upcoming book at https://t.co/Vdhq3le6UO",666971,govenor,republican,2017-01-20T17:58:36Z,"RT @AsaHutchinson: Moments before the transfer of power, a picture of a bipartisan group of Governors ..Kasich, Malloy and Baker. Proud to...",0,90
CongHuelskamp,Real Conservative: represented Kansas' First District in the U.S. House.,19291,congressperson,republican,2017-01-20T18:32:07Z,Excited to hear @Potus and @VP will do exactly what they promised and end use of tax$ to export abortion. #ProLIfe https://t.co/D22S3DJ8im,132,69
RepDougCollins,"Working for Georgia's 9th Congressional District. Pastor, Attorney, Military Chaplain. Find me @HouseJudiciary when in session, beautiful #GA09 all other times.",9727,congressperson,republican,2017-01-20T14:04:07Z,It's going to be good day at #Inauguration2017! https://t.co/ESYCNGgaZE,93,24
repmarkpocan,"Honored to serve the people of Wisconsin's Second District. First Vice Chair, @USProgressives",16209,congressperson,democrat,2017-01-20T22:00:51Z,It was an honor visiting with families and hard-working volunteers at the Badger Prairie Needs Network to help thos... https://t.co/EzdfNPmEGX,54,5
GovernorVA,Official account for Virginia Governor Terry McAuliffe,54054,govenor,democrat,2017-01-20T22:33:58Z,Gov rides across the James River on the Jamestown-Scotland Ferry https://t.co/M408rQuBuT,26,5
SpeakerRyan,"Office of the 54th Speaker of the House, Paul Ryan.",2005696,congressperson,republican,2017-01-20T13:17:36Z,"Today, America continues the time-honored tradition of the peaceful transfer of power. It's going to be a great day... https://t.co/qR6fAaCNHA",2946,558
RepRichHudson,Official Twitter account for Congressman Richard Hudson -- proudly representing the 8th Congressional District of North Carolina.,11141,congressperson,republican,2017-01-20T19:48:14Z,I think @KellyannePolls looked great today! First woman to manage a winning presidential campaign is an inspiration... https://t.co/UobezeLvBz,3,0
RepBarragan,Official account. Honored to represent California's 44th Congressional District #CA44. Member of the @HispanicCaucus @USProgressives  @Dodgers fan.,3394,congressperson,democrat,2017-01-20T19:16:36Z,Today I attended #Inauguration of @realDonaldTrump as a visual reminder of those like me who he has repeatedly denigrated,9,2
JohnCornyn,Honored to represent the great state of Texas in the US Senate.,100282,senator,republican,2017-01-20T02:37:19Z,RT @ChadHastyRadio: Fact. Plus Senator @JohnCornyn will set the stage when he calls into the show on Friday. https://t.co/Dlgxu4lZpr,0,6
RepGosar,Rep. for Arizona's 4th Congressional District. Chairman of @westerncaucus & Subcommittee on Energy & Minerals @NatResources. Dentist impersonating a politician.,22902,congressperson,republican,2017-01-20T16:41:24Z,RT @RepEvanJenkins: I'm ready to welcome Donald Trump as our next president! Like and retweet if you are too. #inauguration https://t.co/xA...,0,29
RepMikeQuigley,"#IL05 Congressman, House Appropriator, member of Intel Committee, amateur hockey player & hopeful Cubs fan http://t.co/zL9fkzy188  http://t.co/FMe57EKfsC",19702,congressperson,democrat,2017-01-20T20:52:02Z,Enjoyed spending the afternoon distributing food at @LakeviewPantry. Great to work w/ them again &amp; give back to... https://t.co/eZCnPRVDYy,71,11
virginiafoxx,Congresswoman Virginia Foxx. Conservative representing North Carolina's Fifth District.,18230,congressperson,republican,2017-01-20T18:16:33Z,We pride ourselves on the peaceful transfer of power. (2/8),6,2
RepBrianFitz,"An independent voice for the people of #PA08. Former FBI Special Agent & Federal Prosecutor. EMT, CPA & Philly sports fan. #GoBirds",1869,congressperson,republican,2017-01-20T13:00:13Z,ICYMI --&gt; https://t.co/wsDlh2juSM,0,1
RepTomEmmer,"Husband, father, hockey fan, and Congressman for Minnesota's 6th District.",5025,congressperson,republican,2017-01-20T16:28:42Z,Excited to watch the inauguration of the 45th President of the United States  @RealDonaldTrump! Ready to #MAGA https://t.co/pOIEr9Y2zq,12,2
RepJohnConyers,"Official Twitter account for Congressman John Conyers, Jr., Rep. of Michigan's 13th Congressional District. For Jobs, Justice & Peace. | RTs ≠ Endorsements",32772,congressperson,democrat,2017-01-20T18:11:33Z,RT @mrdannyglover: .@RepJohnConyers &amp; signatories sent a strong msg to #Brazil this week over gov't abuses &amp; human rights violations https:...,0,102
SenWarren,Official twitter account of Senator Elizabeth Warren of Massachusetts.,2196240,senator,democrat,2017-01-20T23:27:23Z,"We must measure @POTUS @realDonaldTrump by actions, not only words. And today he made it harder for families to achieve the American Dream.",14567,5614
RepMikeCoffman,Proudly representing Colorado's Sixth Congressional District | @USMC Combat Vet | https://t.co/nZgpI9PAJp | Insta: @repmikecoffman | RTs/follow ≠ endorsement,23545,congressperson,republican,2017-01-20T00:31:58Z,Thanks to everyone who stopped by today and picked up their #InaugurationDay2017 tickets! #CO06 https://t.co/sLav50UsYd,20,3
WolfForPA,Official account of Tom Wolf for Governor. Tweets from Tom Wolf are signed -TW.,16178,govenor,democrat,2017-01-20T17:40:11Z,"""If we're going to move forward, we need you &amp; your activism to reaffirm America's status as the beacon of hope, opportunity &amp; freedom."" -TW",59,21
RepKevinBrady,Dad. Husband. Chairman of @WaysandMeansGOP. Deputy Whip. Loves: Baseball and Texas.,24550,congressperson,republican,2017-01-20T13:55:15Z,RT @WaysandMeansGOP: .@RepKevinBrady talks about going bold on tax reform on this very historic day with @SquawkCNBC #Inauguration https://...,0,6
jahimes,Connecticut Congressman. Reader. Runner. Swimmer. And I make maple syrup.,46690,congressperson,democrat,2017-01-20T19:26:22Z,"RT @JamesMartinSJ: Pope to Donald Trump: ""May America's stature continue to be measured above all by its concern for the poor, the outcast...",0,816
SenatorWicker,U.S. Senator for Mississippi. Please visit my website for updates.,40178,senator,republican,2017-01-20T02:40:12Z,"RT @Josh_Barrage: .@TheTupeloBand's in DC for #inauguration parade. @SenatorWicker tells them to ""drink in the moment."" He also dabbed, at...",0,19
RepSpeier,"Represents California's 14th Congressional District. House Armed Services Committee, House Permanent Select Committee on Intelligence. https://t.co/gGH33BRdP5",45726,congressperson,democrat,2017-01-20T16:40:35Z,"Standing proud at the #Inauguration w/my fellow @HouseDemocrats in support of women's rights, civil rights &amp; respec... https://t.co/X9Ec6xyVUd",156,60
