"CUISINE","n","nBad","pctBad"
"American",4835,481,0.099482936918304
"Chinese",2001,324,0.16191904047976
"Caf̩/Coffee/Tea",1355,65,0.0479704797047971
"Pizza",988,119,0.120445344129555
"Italian",812,102,0.125615763546798
"Mexican",701,117,0.166904422253923
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",695,138,0.198561151079137
"Japanese",673,103,0.153046062407132
"Bakery",632,74,0.117088607594937
"Caribbean",546,115,0.210622710622711
"Spanish",530,100,0.188679245283019
"Donuts",493,17,0.0344827586206897
"Pizza/Italian",406,67,0.165024630541872
"Chicken",383,46,0.120104438642298
"Sandwiches",354,16,0.0451977401129944
"Hamburgers",332,19,0.0572289156626506
"Juice, Smoothies, Fruit Salads",295,27,0.0915254237288136
"Asian",282,60,0.212765957446809
"Jewish/Kosher",276,40,0.144927536231884
"Indian",274,60,0.218978102189781
"Ice Cream, Gelato, Yogurt, Ices",271,15,0.0553505535055351
"Delicatessen",261,59,0.226053639846743
"French",253,25,0.0988142292490119
"Thai",242,49,0.202479338842975
"Sandwiches/Salads/Mixed Buffet",229,12,0.0524017467248908
"Korean",213,41,0.192488262910798
"Mediterranean",194,19,0.0979381443298969
"Other",177,7,0.0395480225988701
"Bagels/Pretzels",151,13,0.0860927152317881
"Irish",149,13,0.087248322147651
"Seafood",135,11,0.0814814814814815
"Middle Eastern",128,14,0.109375
"Tex-Mex",114,15,0.131578947368421
"Greek",107,10,0.0934579439252336
"Vegetarian",89,13,0.146067415730337
"Bottled beverages, including water, sodas, juices, etc.",82,11,0.134146341463415
"Vietnamese/Cambodian/Malaysia",70,12,0.171428571428571
"Peruvian",67,19,0.283582089552239
"Steak",66,2,0.0303030303030303
"African",62,18,0.290322580645161
"Russian",61,8,0.131147540983607
"Salads",61,2,0.0327868852459016
"Eastern European",60,8,0.133333333333333
"Turkish",54,7,0.12962962962963
"Soul Food",49,12,0.244897959183673
"Continental",47,2,0.0425531914893617
"Barbecue",41,7,0.170731707317073
"Chinese/Japanese",38,7,0.184210526315789
"Armenian",35,3,0.0857142857142857
"Bangladeshi",34,10,0.294117647058824
"Soups & Sandwiches",30,2,0.0666666666666667
"Hotdogs",28,0,0
"Filipino",27,5,0.185185185185185
"German",26,1,0.0384615384615385
"Pakistani",26,5,0.192307692307692
"Creole",25,4,0.16
"Hawaiian",23,2,0.0869565217391304
"Polish",23,3,0.130434782608696
"Tapas",21,2,0.0952380952380952
"Hotdogs/Pretzels",19,0,0
"Brazilian",18,1,0.0555555555555556
"Pancakes/Waffles",17,1,0.0588235294117647
"Afghan",15,4,0.266666666666667
"Australian",15,2,0.133333333333333
"Chinese/Cuban",14,2,0.142857142857143
"Ethiopian",14,3,0.214285714285714
"English",13,1,0.0769230769230769
"Egyptian",10,3,0.3
"Moroccan",10,1,0.1
"Cajun",8,0,0
"Portuguese",8,0,0
"Indonesian",7,1,0.142857142857143
"Not Listed/Not Applicable",6,0,0
"Southwestern",6,0,0
"Soups",5,0,0
"Chilean",4,1,0.25
"Creole/Cajun",4,1,0.25
"Fruits/Vegetables",4,0,0
"Californian",3,0,0
"Iranian",3,1,0.333333333333333
"Nuts/Confectionary",3,0,0
"Scandinavian",3,1,0.333333333333333
"Basque",2,0,0
"Czech",1,0,0
"Polynesian",1,1,1
